2020-03-01,New York City,New York,,1,0
2020-03-01,Unknown,Rhode Island,,2,0
2020-03-02,New York City,New York,,1,0
2020-03-02,Unknown,Rhode Island,,2,0
2020-03-03,New York City,New York,,2,0
2020-03-03,Unknown,Rhode Island,,2,0
2020-03-04,New York City,New York,,2,0
2020-03-04,Unknown,Rhode Island,,2,0
2020-03-05,New York City,New York,,4,0
2020-03-05,Unknown,Rhode Island,,2,0
2020-03-06,New York City,New York,,5,0
2020-03-06,Unknown,Rhode Island,,3,0
2020-03-07,New York City,New York,,12,0
2020-03-07,Unknown,Rhode Island,,3,0
2020-03-08,New York City,New York,,14,0
2020-03-08,Unknown,Rhode Island,,3,0
2020-03-09,New York City,New York,,20,0
2020-03-09,Unknown,Rhode Island,,3,0
2020-03-10,New York City,New York,,37,0
2020-03-10,Unknown,Rhode Island,,5,0
2020-03-11,New York City,New York,,52,0
2020-03-11,Unknown,Rhode Island,,5,0
2020-03-12,Unknown,New Jersey,,1,0
2020-03-12,New York City,New York,,96,0
2020-03-12,Unknown,Rhode Island,,5,0
2020-03-13,Unknown,New Jersey,,1,0
2020-03-13,New York City,New York,,155,0
2020-03-13,Unknown,Puerto Rico,,3,0
2020-03-13,Unknown,Rhode Island,,20,0
2020-03-14,Unknown,New Jersey,,1,0
2020-03-14,New York City,New York,,269,1
2020-03-14,Unknown,Puerto Rico,,4,0
2020-03-14,Unknown,Rhode Island,,20,0
2020-03-14,Unknown,Virgin Islands,,1,0
2020-03-15,Unknown,Guam,,3,0
2020-03-15,Unknown,New Jersey,,1,0
2020-03-15,New York City,New York,,330,5
2020-03-15,Unknown,Puerto Rico,,5,0
2020-03-15,Unknown,Rhode Island,,20,0
2020-03-15,Unknown,Virgin Islands,,1,0
2020-03-16,Unknown,Guam,,3,0
2020-03-16,Unknown,Maine,,1,0
2020-03-16,Unknown,Massachusetts,,1,0
2020-03-16,Unknown,New Jersey,,1,0
2020-03-16,New York City,New York,,464,7
2020-03-16,Unknown,Puerto Rico,,5,0
2020-03-16,Unknown,Rhode Island,,21,0
2020-03-16,Unknown,Virgin Islands,,2,0
2020-03-17,Unknown,Guam,,3,0
2020-03-17,Unknown,Maine,,3,0
2020-03-17,Unknown,Massachusetts,,1,0
2020-03-17,Unknown,New Jersey,,1,0
2020-03-17,New York City,New York,,646,11
2020-03-17,Unknown,Puerto Rico,,5,0
2020-03-17,Unknown,Rhode Island,,23,0
2020-03-17,Unknown,Virgin Islands,,2,0
2020-03-18,Unknown,Guam,,8,0
2020-03-18,Unknown,Louisiana,,2,0
2020-03-18,Unknown,Maine,,3,0
2020-03-18,Unknown,Massachusetts,,4,0
2020-03-18,Unknown,New Jersey,,1,0
2020-03-18,New York City,New York,,1344,25
2020-03-18,Unknown,Puerto Rico,,5,0
2020-03-18,Unknown,Rhode Island,,33,0
2020-03-18,Unknown,Virgin Islands,,3,0
2020-03-19,Unknown,Guam,,12,0
2020-03-19,Unknown,Kentucky,,1,0
2020-03-19,Unknown,Louisiana,,3,0
2020-03-19,Unknown,Maine,,3,0
2020-03-19,Unknown,Massachusetts,,13,0
2020-03-19,Unknown,Nevada,,4,0
2020-03-19,Unknown,New Jersey,,1,0
2020-03-19,New York City,New York,,2477,31
2020-03-19,Unknown,Puerto Rico,,6,0
2020-03-19,Unknown,Rhode Island,,44,0
2020-03-19,Unknown,Tennessee,,2,0
2020-03-19,Unknown,Virgin Islands,,3,0
2020-03-20,Unknown,Arkansas,,19,0
2020-03-20,Unknown,Georgia,,6,0
2020-03-20,Unknown,Guam,,14,0
2020-03-20,Unknown,Kentucky,,1,0
2020-03-20,Unknown,Louisiana,,5,0
2020-03-20,Unknown,Maine,,3,0
2020-03-20,Unknown,Massachusetts,,18,0
2020-03-20,Kansas City,Missouri,,12,0
2020-03-20,Unknown,Missouri,,1,0
2020-03-20,Unknown,Nevada,,11,0
2020-03-20,Unknown,New Jersey,,3,0
2020-03-20,New York City,New York,,4419,54
2020-03-20,Unknown,Puerto Rico,,14,0
2020-03-20,Unknown,Rhode Island,,44,0
2020-03-20,Unknown,Tennessee,,2,0
2020-03-20,Unknown,Virgin Islands,,6,0
2020-03-21,Unknown,Arkansas,,21,0
2020-03-21,Unknown,Georgia,,27,0
2020-03-21,Unknown,Guam,,15,0
2020-03-21,Unknown,Kentucky,,5,0
2020-03-21,Unknown,Louisiana,,9,0
2020-03-21,Unknown,Maine,,3,0
2020-03-21,Unknown,Massachusetts,,26,0
2020-03-21,Unknown,Minnesota,,1,0
2020-03-21,Kansas City,Missouri,,13,0
2020-03-21,Unknown,Missouri,,1,0
2020-03-21,Unknown,Nevada,,11,0
2020-03-21,Unknown,New Jersey,,151,0
2020-03-21,New York City,New York,,6226,75
2020-03-21,Unknown,Puerto Rico,,21,1
2020-03-21,Unknown,Rhode Island,,66,0
2020-03-21,Unknown,Tennessee,,8,0
2020-03-21,Unknown,Virgin Islands,,6,0
2020-03-22,Unknown,Arkansas,,27,0
2020-03-22,Unknown,California,,1,0
2020-03-22,Unknown,Colorado,,1,0
2020-03-22,Unknown,Florida,,1,0
2020-03-22,Unknown,Georgia,,27,2
2020-03-22,Unknown,Guam,,27,1
2020-03-22,Unknown,Kentucky,,6,0
2020-03-22,Unknown,Louisiana,,11,0
2020-03-22,Unknown,Maine,,5,0
2020-03-22,Unknown,Massachusetts,,34,0
2020-03-22,Unknown,Minnesota,,1,0
2020-03-22,Kansas City,Missouri,,13,0
2020-03-22,Unknown,Missouri,,1,0
2020-03-22,Unknown,Nevada,,33,0
2020-03-22,Unknown,New Jersey,,221,0
2020-03-22,New York City,New York,,9065,119
2020-03-22,Unknown,Puerto Rico,,23,1
2020-03-22,Unknown,Rhode Island,,83,0
2020-03-22,Unknown,Tennessee,,28,0
2020-03-22,Unknown,Virgin Islands,,17,0
2020-03-23,Unknown,Arkansas,,61,0
2020-03-23,Unknown,California,,2,0
2020-03-23,Unknown,Colorado,,5,0
2020-03-23,Unknown,Florida,,1,0
2020-03-23,Unknown,Georgia,,46,2
2020-03-23,Unknown,Guam,,29,1
2020-03-23,Unknown,Hawaii,,5,0
2020-03-23,Unknown,Illinois,,58,0
2020-03-23,Unknown,Kentucky,,9,0
2020-03-23,Unknown,Louisiana,,12,0
2020-03-23,Unknown,Maine,,5,0
2020-03-23,Unknown,Massachusetts,,57,0
2020-03-23,Unknown,Minnesota,,1,0
2020-03-23,Kansas City,Missouri,,18,0
2020-03-23,Unknown,Missouri,,1,0
2020-03-23,Unknown,Nevada,,82,0
2020-03-23,Unknown,New Jersey,,416,0
2020-03-23,New York City,New York,,12329,155
2020-03-23,Unknown,Puerto Rico,,31,2
2020-03-23,Unknown,Rhode Island,,106,0
2020-03-23,Unknown,Tennessee,,109,0
2020-03-23,Unknown,Vermont,,23,0
2020-03-23,Unknown,Virgin Islands,,17,0
2020-03-24,Unknown,Arizona,,0,3
2020-03-24,Unknown,Arkansas,,2,0
2020-03-24,Unknown,Colorado,,18,1
2020-03-24,Unknown,Florida,,10,0
2020-03-24,Unknown,Georgia,,78,5
2020-03-24,Unknown,Guam,,32,1
2020-03-24,Unknown,Hawaii,,13,0
2020-03-24,Unknown,Illinois,,2,0
2020-03-24,Unknown,Kentucky,,13,0
2020-03-24,Unknown,Louisiana,,10,1
2020-03-24,Unknown,Massachusetts,,90,0
2020-03-24,Unknown,Michigan,,8,0
2020-03-24,Unknown,Minnesota,,1,0
2020-03-24,Kansas City,Missouri,,30,0
2020-03-24,Unknown,Missouri,,40,0
2020-03-24,Unknown,Nevada,,14,0
2020-03-24,Unknown,New Jersey,,645,0
2020-03-24,New York City,New York,,14943,230
2020-03-24,Unknown,Puerto Rico,,39,2
2020-03-24,Unknown,Rhode Island,,124,0
2020-03-24,Unknown,Tennessee,,34,0
2020-03-24,Unknown,Texas,,0,1
2020-03-24,Unknown,Vermont,,2,5
2020-03-24,Unknown,Virgin Islands,,17,0
2020-03-24,Unknown,Virginia,,0,1
2020-03-24,Unknown,Washington,,77,0
2020-03-25,Unknown,Arizona,,0,3
2020-03-25,Unknown,Arkansas,,2,0
2020-03-25,Unknown,Colorado,,18,0
2020-03-25,Unknown,Florida,,1,0
2020-03-25,Unknown,Georgia,,154,14
2020-03-25,Unknown,Guam,,32,1
2020-03-25,Unknown,Hawaii,,4,0
2020-03-25,Unknown,Illinois,,0,2
2020-03-25,Unknown,Kentucky,,31,0
2020-03-25,Unknown,Louisiana,,9,1
2020-03-25,Unknown,Maine,,2,0
2020-03-25,Unknown,Massachusetts,,159,0
2020-03-25,Unknown,Michigan,,8,0
